Summary;Error Type;Error Scope;Comment;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Classification;Reason;Presentation mode;Narrator POV;words
Helen of Sparta, renowned for her beauty, lacked substance and animation, making her an empty shell. She was a prized possession rather than a beloved wife to her husband, and her beauty failed to inspire passion in others, including Paris of Troy, who eventually came to see her as others did. However, she found kindness and genuine human connection with Hector, brother of Paris, and fell deeply in love with him. After Hector's death and the fall of Troy, Helen returned to Sparta, where she found some solace in the love of her children. Ultimately, in the afterworld, Helen's dehumanizing beauty was transformed, and she found peace with a lovely face that no longer held the power to launch a fleet or burn a city.;False negative;Summary;;unspecified;;0;0;0;1;Hector;Hector;1;0;0;0;Achilles;;0;0;1;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;narrator;third;682
Cassandra enters the palace with her eyes closed, guided by a premonition of her impending doom. She is met by Clytaemnestra, who attacks her, fueled by anger and madness. As Cassandra falls to the floor, she sees visions of the past, including conversations between herself and Helen, which highlight their divergent paths and emotions. Clytaemnestra's rage intensifies, and she physically assaults Cassandra, causing her pain and injury. In her final moments, Cassandra sees a complete vision of a woman's face, white with blood in her hair and dark eyes, before she dies.;;;;slaying;physical assault;1;0;0;0;Cassandra;Cassandra;1;0;0;0;Clytaemnestra;Clytaemnestra;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;520
Medusa, one of three Gorgon sisters, was assaulted by Poseidon, the sea god, at the Eastern gates of a city she guarded. The sea flooded the city, causing destruction and death, and Medusa's sisters, Euryale and Stheno, led the survivors to safety. When the waters receded, Medusa screamed in rage and destroyed what was left of the city, including the temple of Athena, where she had been assaulted. Athena transformed Medusa into a monster with snakes for hair and a gaze that turned people to stone. Later, Athena sent Perseus to behead Medusa, using a shield with her reflection to avoid her deadly gaze.;Minor character death;Summary;;being eaten;;0;0;1;0;Athena's mother;;0;0;1;0;Athena's father;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1691
Medusa, one of three Gorgon sisters, was assaulted by Poseidon, the sea god, at the Eastern gates of a city she guarded. The sea flooded the city, causing destruction and death, and Medusa's sisters, Euryale and Stheno, led the survivors to safety. When the waters receded, Medusa screamed in rage and destroyed what was left of the city, including the temple of Athena, where she had been assaulted. Athena transformed Medusa into a monster with snakes for hair and a gaze that turned people to stone. Later, Athena sent Perseus to behead Medusa, using a shield with her reflection to avoid her deadly gaze.;;;;drowning;drowning;1;0;0;0;many people;citizens;1;0;0;0;Poseidon;Poseidon;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1691
Medusa, one of three Gorgon sisters, was assaulted by Poseidon, the sea god, at the Eastern gates of a city she guarded. The sea flooded the city, causing destruction and death, and Medusa's sisters, Euryale and Stheno, led the survivors to safety. When the waters receded, Medusa screamed in rage and destroyed what was left of the city, including the temple of Athena, where she had been assaulted. Athena transformed Medusa into a monster with snakes for hair and a gaze that turned people to stone. Later, Athena sent Perseus to behead Medusa, using a shield with her reflection to avoid her deadly gaze.;False positive & false negative;Summary;background knowledge bleeding;petrification;beheading;0;1;1;0;Medusa;Medusa;1;0;0;0;Perseus;Perseus;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;third;1691
Medusa, one of three Gorgon sisters, was assaulted by Poseidon, the sea god, at the Eastern gates of a city she guarded. The sea flooded the city, causing destruction and death, and Medusa's sisters, Euryale and Stheno, led the survivors to safety. When the waters receded, Medusa screamed in rage and destroyed what was left of the city, including the temple of Athena, where she had been assaulted. Athena transformed Medusa into a monster with snakes for hair and a gaze that turned people to stone. Later, Athena sent Perseus to behead Medusa, using a shield with her reflection to avoid her deadly gaze.;False negative;Question Answering;;drowning;;0;0;1;0;whole families;;0;0;1;0;Poseidon;;0;0;1;0;Incorrect;;narrator;third;1691
Artemis, leader of the all-female motorcycle club Arktoi, has built a life she loves with her partner Kallisto and control over Brauron's bars and strip joints. However, trouble starts when Artemis' father's Olympians begin harassing patrons and staff, driving profits down. Kallisto offers to deal with the situation, but returns from the meeting visibly shaken and eventually reveals that she was raped by Artemis' father and is now pregnant. After a few weeks of avoidance, Kallisto tries to convince Artemis to make a deal with her father, claiming it's for their safety, but Artemis discovers Kallisto's betrayal and feels deeply hurt and angry. In the end, Artemis shoots Kallisto, unable to forgive her for selling out their club and lifestyle.;;;;being shot;shooting;1;0;0;0;Kallisto;Kallisto;1;0;0;0;Artemis;Artemis;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1152
The narrator, still reeling from shock, finds herself face to face with Agamemnon, who has destroyed her city and is now gloating over his victory. However, Clytaemnestra appears behind him, seeking revenge for their daughter Iphigenia's death, and strikes Agamemnon down with her sword. The narrator joins in, stabbing Agamemnon with his own sword, and together they kill him. Afterward, Clytaemnestra is thanked by the narrator for avenging her city and people, and the two women share a passionate kiss, with Clytaemnestra declaring she will not forget the narrator's help.;;;;stabbing;stabbing;1;0;0;0;Agamemnon;Agamemnon;1;0;0;0;Clytaemnestra;Clytaemnestra;1;0;0;0;Correct;;narrator;first;1989
The narrator, still reeling from shock, finds herself face to face with Agamemnon, who has destroyed her city and is now gloating over his victory. However, Clytaemnestra appears behind him, seeking revenge for their daughter Iphigenia's death, and strikes Agamemnon down with her sword. The narrator joins in, stabbing Agamemnon with his own sword, and together they kill him. Afterward, Clytaemnestra is thanked by the narrator for avenging her city and people, and the two women share a passionate kiss, with Clytaemnestra declaring she will not forget the narrator's help.;;;;stabbing;stabbing;1;0;0;0;Agamemnon;Agamennon;1;0;0;0;Cassandra;the narrator;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1989
The narrator, still reeling from shock, finds herself face to face with Agamemnon, who has destroyed her city and is now gloating over his victory. However, Clytaemnestra appears behind him, seeking revenge for their daughter Iphigenia's death, and strikes Agamemnon down with her sword. The narrator joins in, stabbing Agamemnon with his own sword, and together they kill him. Afterward, Clytaemnestra is thanked by the narrator for avenging her city and people, and the two women share a passionate kiss, with Clytaemnestra declaring she will not forget the narrator's help.;False positive;Summary;"Background Knowledge ""bleeding"" from the parametric memory of the model";;stabbing;0;1;0;0;;Iphigenia;0;1;0;0;;Agamemnon;0;1;0;0;Incorrect;All three elements have FP or FN.;;;1989
Medusa, cursed by Poseidon for her beauty, has been exiled to an island where she can turn men to stone with a single gaze, and has amassed hundreds of statues over time. A young man named Perseus approaches her, using a golden shield as a mirror to locate her without being petrified. Medusa is intrigued by his intelligence and caution, and the two engage in conversation, during which she learns that she has become ugly due to Athena's curse, as reflected in the shield. Perseus reveals that he has come for Medusa's head to kill a suitor of his mother, but before he can strike, Medusa is given a glimpse of her true reflection and is momentarily stunned by her appearance, allowing Perseus to behead her.;Generic character death;Summary;;petrification;;0;0;1;0;a priestess;;0;0;1;0;Medusa;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1716
Medusa, cursed by Poseidon for her beauty, has been exiled to an island where she can turn men to stone with a single gaze, and has amassed hundreds of statues over time. A young man named Perseus approaches her, using a golden shield as a mirror to locate her without being petrified. Medusa is intrigued by his intelligence and caution, and the two engage in conversation, during which she learns that she has become ugly due to Athena's curse, as reflected in the shield. Perseus reveals that he has come for Medusa's head to kill a suitor of his mother, but before he can strike, Medusa is given a glimpse of her true reflection and is momentarily stunned by her appearance, allowing Perseus to behead her.;;;;petrification;turning to stone;1;0;0;0;hundreds of men;men;1;0;0;0;Medusa;Medusa;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1716
Medusa, cursed by Poseidon for her beauty, has been exiled to an island where she can turn men to stone with a single gaze, and has amassed hundreds of statues over time. A young man named Perseus approaches her, using a golden shield as a mirror to locate her without being petrified. Medusa is intrigued by his intelligence and caution, and the two engage in conversation, during which she learns that she has become ugly due to Athena's curse, as reflected in the shield. Perseus reveals that he has come for Medusa's head to kill a suitor of his mother, but before he can strike, Medusa is given a glimpse of her true reflection and is momentarily stunned by her appearance, allowing Perseus to behead her.;False positive & false negative;Summary;;slashing;beheading;0;1;1;0;Medusa;Medusa;1;0;0;0;Perseus;Perseus;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;third;1716
Achilles, driven by his desire for Troilus, takes him at Apollo's altar, believing that Troilus was made for him. As they make love, Achilles is convinced that Troilus fits him perfectly, and Troilus, overwhelmed with pleasure, comes against the altar. However, their intimacy is short-lived, as Achilles knows he cannot take Troilus with him when he leaves, due to a prophecy stating that if Troilus dies before twenty, the Achaeans will succeed. Resigned to his fate, Achilles kills Troilus at Apollo's feet, making it a quick sacrifice, and then walks away, leaving the body behind.;False positive & false negative;Summary;;beheading;killing;0;1;1;0;Troilus;Troilus;1;0;0;0;Achilles;Achilles;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;third;2454
Achilles, driven by his desire for Troilus, takes him at Apollo's altar, believing that Troilus was made for him. As they make love, Achilles is convinced that Troilus fits him perfectly, and Troilus, overwhelmed with pleasure, comes against the altar. However, their intimacy is short-lived, as Achilles knows he cannot take Troilus with him when he leaves, due to a prophecy stating that if Troilus dies before twenty, the Achaeans will succeed. Resigned to his fate, Achilles kills Troilus at Apollo's feet, making it a quick sacrifice, and then walks away, leaving the body behind.;Generic character death;Summary;;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Achilles;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;third;2454
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like """"opportunist"""" and """"whore"""", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.""";Minor character death;Summary;;war;;0;0;1;0;Cassandra's son;Cassandra's sons;1;0;0;0;---;;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;indirect thought;third;1264
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like """"opportunist"""" and """"whore"""", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.""";Minor character death;Summary;;unspecified;;0;0;0;1;Cassandra's daughter;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;1264
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like """"opportunist"""" and """"whore"""", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.""";False negative;Summary;;unspecified;;0;0;0;1;Cassandra;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;1264
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like """"opportunist"""" and """"whore"""", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.""";Generic character death;Summary;;natural desaster;;0;0;1;0;mortals;;0;0;1;0;Apollo;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;1264
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like """"opportunist"""" and """"whore"""", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.""";Generic character death;Summary;;monsters;;0;0;1;0;mortals;;0;0;1;0;Apollo;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;1264
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like """"opportunist"""" and """"whore"""", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.""";Generic character death;Summary;;plague;;0;0;1;0;mortals;;0;0;1;0;Apollo;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;1264
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like """"opportunist"""" and """"whore"""", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.""";False negative;Summary;;unspecified;;0;0;0;1;Apollo;Apollo;1;0;0;0;---;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;indirect thought;third;1264
