Summary;Error Type;Error Scope;Comment;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Classification;Reason;Presentation mode;Narrator POV;words
Achilles killed Penthesilea, the queen of the Amazons, in battle, striking her down with his blade after she had fought valiantly. Prior to this, the two had a romantic encounter three years ago, where they discussed the curse of the House of Atreus and how it could be broken. After killing Penthesilea, Achilles closed her eyes and kissed her forehead, acknowledging that he carries his own death with him, referencing the fact that he was destined to die from an arrow wound to his heel.;False negative;Summary;;illness (fever);;0;0;1;0;Alexander the Great;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;1574
Achilles killed Penthesilea, the queen of the Amazons, in battle, striking her down with his blade after she had fought valiantly. Prior to this, the two had a romantic encounter three years ago, where they discussed the curse of the House of Atreus and how it could be broken. After killing Penthesilea, Achilles closed her eyes and kissed her forehead, acknowledging that he carries his own death with him, referencing the fact that he was destined to die from an arrow wound to his heel.;False negative;Summary;;chopping to pieces;;0;0;1;0;Pelops;;0;0;1;0;Tantalus;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1574
Achilles killed Penthesilea, the queen of the Amazons, in battle, striking her down with his blade after she had fought valiantly. Prior to this, the two had a romantic encounter three years ago, where they discussed the curse of the House of Atreus and how it could be broken. After killing Penthesilea, Achilles closed her eyes and kissed her forehead, acknowledging that he carries his own death with him, referencing the fact that he was destined to die from an arrow wound to his heel.;False negative;Summary;;sacrifice;;0;0;1;0;Iphigeneia;;0;0;1;0;Agamemnon;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1574
Achilles killed Penthesilea, the queen of the Amazons, in battle, striking her down with his blade after she had fought valiantly. Prior to this, the two had a romantic encounter three years ago, where they discussed the curse of the House of Atreus and how it could be broken. After killing Penthesilea, Achilles closed her eyes and kissed her forehead, acknowledging that he carries his own death with him, referencing the fact that he was destined to die from an arrow wound to his heel.;;;;stabbing;blade strike;1;0;0;0;Penthesilea;Penthesilea;1;0;0;0;Achilles;Achilles;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1574
Achilles killed Penthesilea, the queen of the Amazons, in battle, striking her down with his blade after she had fought valiantly. Prior to this, the two had a romantic encounter three years ago, where they discussed the curse of the House of Atreus and how it could be broken. After killing Penthesilea, Achilles closed her eyes and kissed her forehead, acknowledging that he carries his own death with him, referencing the fact that he was destined to die from an arrow wound to his heel.;;;;being shot;arrow wound;1;0;0;0;Achilles;Achilles;1;0;0;0;unspecified;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1574
In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;False positive;Summary;;;virus;0;1;0;0;;Anceus;0;1;0;0;;BOAR;0;1;0;0;Incorrect;All three elements have FP or FN.;;;1115
In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;False positive & false negative;Summary;;;;0;0;0;1;unnamed redshirts;unnamed redshirts;1;0;0;0;Diana Artémiso;BOAR;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;narrator;third;1115
In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;False negative;Summary;;vaporising;;0;0;1;0;Plexippus and Toxeus;Toxeus;1;0;0;0;Meleager;Meleager Calydon;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;third;1115
In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;;;;software malfunction;diskette;1;0;0;0;Meleager;Meleager Calydon;1;0;0;0;Althea;Althea;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;direct thought;third;1115
In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;False negative;Summary;;suicide;;0;0;1;0;Althea;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;1115
Helen, the beautiful wife of King Menelaus of Sparta, was a possession rather than a beloved, with an empty and hollow beauty that lacked substance. Aphrodite, the goddess of love and desire, fueled Paris' passion for Helen, leading to her abduction and the subsequent war between Greece and Troy. As the war raged on, Helen fell in love with Hector, brother of Paris, who showed her kindness and decency, but he was eventually killed by Achilles. After Troy's fall, Helen returned to Sparta, where she found solace in the love of her children, which eased the pain of her past experiences. Ultimately, Helen finds peace in the afterworld, free from the dehumanizing beauty that had defined her life.;;;;unspecified;killed;1;0;0;0;Hector;Hector;1;0;0;0;Achilles;Achilles;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;682
Cassandra, fueled by visions of her impending death and the memories of Agamemnon's murder, enters the palace where she is met with hostility by Clytaemnestra, who ultimately murders her in a fit of rage, slamming her against the wall and causing a fatal head injury. The story flashes back to conversations between Helen and Cassandra, revealing their complex relationship and eventual separation, as well as Helen's departure from Sparta. The narrative also alludes to Agamemnon's murder at the hands of Clytaemnestra and Aegisthus, highlighting the web of violence and betrayal that ultimately leads to Cassandra's demise.;False positive & false negative;Summary;We can't assume that she dies when hitting the wall;slaying;Slamming against wall;0;1;1;0;Cassandra;Cassandra;1;0;0;0;Clytaemnestra;Clytaemnestra;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;third;520
Cassandra, fueled by visions of her impending death and the memories of Agamemnon's murder, enters the palace where she is met with hostility by Clytaemnestra, who ultimately murders her in a fit of rage, slamming her against the wall and causing a fatal head injury. The story flashes back to conversations between Helen and Cassandra, revealing their complex relationship and eventual separation, as well as Helen's departure from Sparta. The narrative also alludes to Agamemnon's murder at the hands of Clytaemnestra and Aegisthus, highlighting the web of violence and betrayal that ultimately leads to Cassandra's demise.;False positive;Summary;;;;0;0;0;1;;Agamemnon;0;1;0;0;;Clytaemnestra, Aegisthus;0;1;0;0;Incorrect;Errors but no TPs.;;;520
The sea, controlled by Poseidon, wreaks havoc on a city, flooding its streets and killing many of its inhabitants. Medusa, one of three sisters who are the guardians of the Eastern gates, attempts to fight back with her spear but is ultimately overpowered by the sea. She seeks refuge in the temple of Athena, where she is pursued and violated by Poseidon. The event leaves Medusa traumatized and enraged, causing destruction throughout the city. Later, Athena transforms Medusa's appearance, turning her hair into venomous serpents and her gaze to stone. Eventually, Medusa becomes pregnant with the sea's children but refuses to give birth, instead choosing to keep them inside herself. The story concludes with Athena sending Perseus to behead Medusa using a mirrored shield, effectively killing her.;False positive;Summary;Hallucination;petrification;beheading;0;1;1;0;Medusa;Medusa;1;0;0;0;Perseus;Perseus;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;third;1691
The sea, controlled by Poseidon, wreaks havoc on a city, flooding its streets and killing many of its inhabitants. Medusa, one of three sisters who are the guardians of the Eastern gates, attempts to fight back with her spear but is ultimately overpowered by the sea. She seeks refuge in the temple of Athena, where she is pursued and violated by Poseidon. The event leaves Medusa traumatized and enraged, causing destruction throughout the city. Later, Athena transforms Medusa's appearance, turning her hair into venomous serpents and her gaze to stone. Eventually, Medusa becomes pregnant with the sea's children but refuses to give birth, instead choosing to keep them inside herself. The story concludes with Athena sending Perseus to behead Medusa using a mirrored shield, effectively killing her.;Minor character death;Summary;;being eaten;;0;0;1;0;Athena's mother;;0;0;1;0;Athena's father;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1691
The sea, controlled by Poseidon, wreaks havoc on a city, flooding its streets and killing many of its inhabitants. Medusa, one of three sisters who are the guardians of the Eastern gates, attempts to fight back with her spear but is ultimately overpowered by the sea. She seeks refuge in the temple of Athena, where she is pursued and violated by Poseidon. The event leaves Medusa traumatized and enraged, causing destruction throughout the city. Later, Athena transforms Medusa's appearance, turning her hair into venomous serpents and her gaze to stone. Eventually, Medusa becomes pregnant with the sea's children but refuses to give birth, instead choosing to keep them inside herself. The story concludes with Athena sending Perseus to behead Medusa using a mirrored shield, effectively killing her.;;;;drowning;drowning;1;0;0;0;many people;inhabitants;1;0;0;0;Poseidon;Poseidon;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1691
The sea, controlled by Poseidon, wreaks havoc on a city, flooding its streets and killing many of its inhabitants. Medusa, one of three sisters who are the guardians of the Eastern gates, attempts to fight back with her spear but is ultimately overpowered by the sea. She seeks refuge in the temple of Athena, where she is pursued and violated by Poseidon. The event leaves Medusa traumatized and enraged, causing destruction throughout the city. Later, Athena transforms Medusa's appearance, turning her hair into venomous serpents and her gaze to stone. Eventually, Medusa becomes pregnant with the sea's children but refuses to give birth, instead choosing to keep them inside herself. The story concludes with Athena sending Perseus to behead Medusa using a mirrored shield, effectively killing her.;False negative;Summary;;drowning;;0;0;1;0;whole families;;0;0;1;0;Poseidon;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;third;1691
Artemis, the leader of the all-female motorcycle club Arktoi, has a loving relationship with Kallisto, but their happiness is disrupted when Artemis' father, Zeus, starts harassing the club's patrons and staff. Kallisto offers to deal with the situation, but she secretly meets with Zeus and becomes pregnant with his child after being raped by him. When Artemis discovers this, she confronts Kallisto, who reveals that she made a deal with Zeus to patch over the club in exchange for protection. However, Artemis is furious and feels betrayed, leading her to shoot Kallisto in the desert, killing her. Throughout the story, it is also mentioned that Leda, one of the Olympians' women, was previously raped by Zeus on a pool table, leaving emotional scars on Artemis, who witnessed the incident as a child.;;;;being shot;gunshot;1;0;0;0;Kallisto;Kallisto;1;0;0;0;Artemis;Artemis;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1152
Agamemnon's death is at the hands of Clytaemnestra, who stabs him with her sword and then slits his throat, avenging their daughter Iphigenia's death. The narrator assists Clytaemnestra by stabbing Agamemnon with his own sword after he has been wounded by Clytaemnestra.;;;;stabbing;stabbing and throat slitting;1;0;0;0;Agamemnon;Agamemnon;1;0;0;0;Clytaemnestra;Clytaemnestra;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1989
Agamemnon's death is at the hands of Clytaemnestra, who stabs him with her sword and then slits his throat, avenging their daughter Iphigenia's death. The narrator assists Clytaemnestra by stabbing Agamemnon with his own sword after he has been wounded by Clytaemnestra.;;;;stabbing;stabbing;1;0;0;0;Agamemnon;Agamemnon;1;0;0;0;Cassandra;narrator;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1989
Medusa, once a beautiful maiden, was cursed by Athena after being raped by Poseidon, transforming her into a monster with snakes for hair and a gaze that turns men to stone. She has been living on an island, turning hundreds of men who dared to approach her into statues. Perseus, a young man, arrives on the island, using a golden shield as a mirror to locate Medusa, intending to behead her to kill the man who is going to marry his mother. However, upon seeing her reflection and realizing her true form, Medusa is shocked and momentarily distracted, allowing Perseus to behead her with his sword, ending her life.;Generic character death;Summary;Generic Character Death;petrification;;0;0;1;0;a priestess;;0;0;1;0;Medusa;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1716
Medusa, once a beautiful maiden, was cursed by Athena after being raped by Poseidon, transforming her into a monster with snakes for hair and a gaze that turns men to stone. She has been living on an island, turning hundreds of men who dared to approach her into statues. Perseus, a young man, arrives on the island, using a golden shield as a mirror to locate Medusa, intending to behead her to kill the man who is going to marry his mother. However, upon seeing her reflection and realizing her true form, Medusa is shocked and momentarily distracted, allowing Perseus to behead her with his sword, ending her life.;;;;petrification;turned to stone;1;0;0;0;hundreds of men;men;1;0;0;0;Medusa;Medusa;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1716
Medusa, once a beautiful maiden, was cursed by Athena after being raped by Poseidon, transforming her into a monster with snakes for hair and a gaze that turns men to stone. She has been living on an island, turning hundreds of men who dared to approach her into statues. Perseus, a young man, arrives on the island, using a golden shield as a mirror to locate Medusa, intending to behead her to kill the man who is going to marry his mother. However, upon seeing her reflection and realizing her true form, Medusa is shocked and momentarily distracted, allowing Perseus to behead her with his sword, ending her life.;False positive & false negative;Summary;;slashing;beheaded;0;1;1;0;Medusa;Medusa;1;0;0;0;Perseus;Perseus;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;third;1716
Achilles kills Troilus, the son of Apollo, by slitting his throat with his sword in the temple of Apollo as a sacrifice to the god, believing it is necessary for the fall of Troy and fulfilling the prophecy that states if Troilus dies before he's twenty, the Achaeans will succeed.;False positive & false negative;Summary;;beheading;slitting throat with sword;0;1;1;0;Troilus;Troilus;1;0;0;0;Achilles;Achilles;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;third;2454
Achilles kills Troilus, the son of Apollo, by slitting his throat with his sword in the temple of Apollo as a sacrifice to the god, believing it is necessary for the fall of Troy and fulfilling the prophecy that states if Troilus dies before he's twenty, the Achaeans will succeed.;Generic character death;Summary;Generic Character Death;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Achilles;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;third;2454
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like \""opportunist\"" and \""whore\"", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.";Minor character death;Summary;Generic character death;war;;0;0;1;0;Cassandra's son;Cassandra's son;1;0;0;0;---;;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;indirect thought;third;1264
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like \""opportunist\"" and \""whore\"", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.";;;;unspecified;;0;0;0;1;Cassandra's daughter;Cassandra's daughter;1;0;0;0;---;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;indirect thought;third;1264
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like \""opportunist\"" and \""whore\"", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.";;;;unspecified;;0;0;0;1;Cassandra;Cassandra;1;0;0;0;---;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;indirect thought;third;1264
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like \""opportunist\"" and \""whore\"", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.";Generic character death;Summary;Generic Character Death;natural desaster;;0;0;1;0;mortals;;0;0;1;0;Apollo;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;1264
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like \""opportunist\"" and \""whore\"", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.";Generic character death;Summary;Generic Character Death;monsters;;0;0;1;0;mortals;;0;0;1;0;Apollo;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;1264
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like \""opportunist\"" and \""whore\"", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.";Generic character death;Summary;Generic Character Death;plague;;0;0;1;0;mortals;;0;0;1;0;Apollo;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;1264
"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like \""opportunist\"" and \""whore\"", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.";False positive;Question Answering;;unspecified;;0;0;0;1;Apollo;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;1264
