Error Type;Error Scope;Comment;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Classification;Reason;Presentation mode;Narrator POV;words
Generic character death;Question Answering;;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Achilles;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;third;2454
False negative;Question Answering;;war;;0;0;1;0;Cassandra's son;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;1264
;;;unspecified;;0;0;0;1;Cassandra's daughter;Cassandra's daughter;1;0;0;0;---;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;indirect thought;third;1264
False positive;Question Answering;;unspecified;;0;1;0;0;Cassandra;Cassandra;1;0;0;0;---;;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;indirect thought;third;1264
Generic character death;Question Answering;;natural desaster;;0;0;1;0;mortals;;0;0;1;0;Apollo;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;1264
False negative;Question Answering;;monsters;;0;0;1;0;mortals;;0;0;1;0;Apollo;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;1264
False negative;Question Answering;;plagues;;0;0;1;0;mortals;;0;0;1;0;Apollo;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;1264
False negative;Question Answering;;unspecified;;0;0;0;1;Apollo;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;1264
False positive;Question Answering;there is no miscarriage. Problem with forecast;;miscarriage;0;1;0;0;;Cassandra's unborn child;0;1;0;0;;Ajax the Lesser;0;1;0;0;Incorrect;All three elements have FP or FN.;;;1264
False negative;Question Answering;;;;0;0;0;1;everyone;;0;0;1;0;;;0;0;0;1;Incorrect;All three elements have FP or FN.;indirect thought;third;1264
Minor character death;Question Answering;;unspecified;;0;0;0;1;Philomena's mother;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;4350
False negative;Question Answering;;implied/unspecified;;0;0;1;0;Kallias;;0;0;1;0;Philomena's father;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;4350
Generic character death;Question Answering;;war;;0;0;1;0;many young souls;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;4350
Generic character death;Question Answering;;unspecified;;0;0;0;1;a boy;;0;0;1;0;Patroclus;;0;0;1;0;Incorrect;Errors but no TPs.;indirect speech;third;4350
False negative;Question Answering;;unspecified;;0;0;0;1;---;;0;0;0;1;Patroclus;;0;0;1;0;Incorrect;Errors but no TPs.;indirect thought;third;4350
Minor character death;Question Answering;;implied/unspecified;;0;0;1;0;Philomena's father, Menoiteus;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;4350
Generic character death;Question Answering;;stabbing;gruesome death;0;1;1;0;Patroclus;Patroclus;1;0;0;0;---;;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;indirect speech;third;4350
Generic character death;Question Answering;;being eaten;;0;0;1;0;a man;;0;0;1;0;Medusa's sisters;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;7247
Generic character death;Question Answering;;slashing throat;;0;0;1;0;a faun;;0;0;1;0;Medusa;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;7247
Generic character death;Question Answering;;snake bite;;0;0;1;0;unnamed heroes;;0;0;1;0;Medusa('s snakes);;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;7247
Generic character death;Question Answering;;snake bite;;0;0;1;0;a farmer;;0;0;1;0;Medusa('s snakes);;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;7247
Generic character death;Question Answering;;snake bite;;0;0;1;0;a drunk man;;0;0;1;0;Medusa('s snakes);;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;7247
Generic character death;Question Answering;;snake bite;;0;0;1;0;a man dressed in strange attire;;0;0;1;0;Medusa('s snakes);;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;7247
Generic character death;Question Answering;;being eaten;;0;0;1;0;a man transformed into a stag;;0;0;1;0;wolves;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;7247
False positive;Summary;;;hunting;0;1;0;0;;rabbit;0;1;0;0;;narrator;0;1;0;0;Incorrect;All three elements have FP or FN.;;;7247
;;;war;war;1;0;0;0;Mynes;Mynes;1;0;0;0;---;not specified;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;indirect thought;third;1000
;;;war;battle;1;0;0;0;Patroclus;Patroclus;1;0;0;0;unspecified;not specified;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;indirect speech;third;1000
;;;war;war;1;0;0;0;Achilles;Achilles;1;0;0;0;unspecified;not specified;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1000
Generic character death;Question Answering;;unspecified;;0;0;0;1;unspecified;;0;0;0;1;striking miners;;0;0;1;0;Incorrect;Errors but no TPs.;indirect thought;third;746
False negative;Question Answering;;hanging;hanging;1;0;0;0;miners;miners;1;0;0;0;Corrie;;0;0;1;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;indirect thought;third;746
False positive & false negative;Question Answering;;slaying;beating;0;1;1;0;Dixon;Dixon Worth;1;0;0;0;Corrie;Corrie Worth;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;indirect thought;third;746
;;;tearing to pieces;torn limb from limb;1;0;0;0;Pentheus;Pentheus;1;0;0;0;Maenad;Maenads;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1269
False negative;Question Answering;;sacrifice;;0;0;1;0;Iphigenia;;0;0;1;0;Agamemnon;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;2229
;;;self-sacrifice/stabbing;dagger thrusts;1;0;0;0;Calchas;Calchas;1;0;0;0;Cassandra;Cassandra;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;2229
;;;self-sacrifice/stabbing;dagger thrusts;1;0;0;0;Cassandra;Cassandra;1;0;0;0;Cassandra;Cassandra;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;2229
False positive & false negative;Question Answering;;discus;poisoning;0;1;1;0;Hyacinthus;Hyacinthus;1;0;0;0;---;Apollo (indirect);0;1;0;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;narrator;first;1337
False positive;Question Answering;Perpetrator is wrong;transformation;transformation;1;0;0;0;Daphne;Daphne;1;0;0;0;---;Apollo;0;1;0;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;narrator;first;1337
False negative;Question Answering;;discus (implied);;0;0;1;0;Hyacinthus;;0;0;1;0;Zephyrus;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;1337
False negative;Question Answering;;slaying;;0;0;1;0;Ilona;;0;0;1;0;a man;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;7210
Generic character death;Question Answering;;tearing to pieces;;0;0;1;0;hunters;;0;0;1;0;werewolves;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;7210
Generic character death;Question Answering;;slashing throat;;0;0;1;0;hunters;;0;0;1;0;werewolves;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;7210
Generic character death;Question Answering;;being choked;;0;0;1;0;a hunter;;0;0;1;0;a werewolf;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;7210
Generic character death;Question Answering;;being eaten;;0;0;1;0;Brian;;0;0;1;0;a dragon;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;7210
Generic character death;Question Answering;;beaten to death;;0;0;1;0;her brother;;0;0;1;0;a bird;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;7210
Generic character death;Question Answering;;being eaten;;0;0;1;0;she;;0;0;1;0;a bird;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;7210
Generic character death;Question Answering;;being eaten;;0;0;1;0;Daisy's friends;;0;0;1;0;a troll;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;7210
False negative;Question Answering;;intercourse/rape;;0;0;1;0;Daisy;;0;0;1;0;a troll;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;7210
False negative;Question Answering;;slashing throat;;0;0;1;0;the embalmer;;0;0;1;0;Kayde and Luanne;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;7210
Generic character death;Question Answering;;being eaten;;0;0;1;0;he;;0;0;1;0;a shark;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect thought;third;7210
Generic character death;Question Answering;;being eaten;;0;0;1;0;a neighbour;;0;0;1;0;a werewolf neighbour;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;third;7210
Generic character death;Question Answering;;drowning;;0;0;1;0;unspecified;;0;0;0;1;sea monsters;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;third;7210
Generic character death;Question Answering;;stabbing;;0;0;1;0;unspecified;;0;0;0;1;angels;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;7210
Generic character death;Question Answering;;burning alive;fire;1;0;0;0;NN's parents;parents;1;0;0;0;---;inferno;0;1;0;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;indirect thought;first;7210
False positive;Question Answering;Perpetrator is wrong;unspecified;;0;0;0;1;a doctor;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;7210
Generic character death;Question Answering;;unspecified;;0;0;0;1;a set of twins;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;7210
Generic character death;Question Answering;;unspecified;;0;0;0;1;a taxidermist;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;7210
Generic character death;Question Answering;;unspecified;;0;0;0;1;a camgirl;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;7210
Generic character death;Question Answering;;;devouring;0;1;0;0;;humans;0;1;0;0;;Beast;0;1;0;0;Incorrect;All three elements have FP or FN.;;;7210
False negative;Question Answering;;stabbing;grief and mourning;0;1;1;0;Patroclus;Patroclus (initially);1;0;0;0;Hector;;0;0;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;indirect thought;first;2503
Generic character death;Question Answering;;unspecified;;0;0;0;1;Trojans;;0;0;1;0;Achilles;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;2503
False negative;Question Answering;;stabbing;;0;0;1;0;Hector;;0;0;1;0;Achilles;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;2503
Generic character death;Question Answering;;unspecified;;0;0;0;1;heros;;0;0;1;0;Achilles;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;2503
False positive & false negative;Question Answering;;being shot;warfare;0;1;1;0;Achilles;Achilles;1;0;0;0;Apollo;unknown;0;0;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;narrator;first;2503
False negative;Question Answering;;unspecified;;0;0;0;1;Hector;;0;0;1;0;Achilles;;0;0;1;0;Incorrect;Errors but no TPs.;direct speech;first;2503
False negative;Question Answering;;unspecified;;0;0;0;1;Troilus;;0;0;1;0;Achilles;;0;0;1;0;Incorrect;Errors but no TPs.;direct speech;first;2503
False positive;Question Answering;;;natural causes/old age;0;1;0;0;Pyrrhus;Pyrrhus;1;0;0;0;;unknown;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;first;2503
Minor character death;Question Answering;;unspecified;;0;0;0;1;two of Artemis' maidens;;0;0;1;0;a griffin;;0;0;1;0;Incorrect;Errors but no TPs.;direct speech;third;4430
;;;old age;natural causes;1;0;0;0;Leuce;Leuce;1;0;0;0;---;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;865
False negative;Question Answering;;stabbing;;0;0;1;0;Luctus Sine Lumen;;0;0;1;0;a soldier;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;3305
False negative;Question Answering;;;natural causes;0;1;0;0;;narrator;0;1;0;0;;;0;0;0;1;Incorrect;Errors but no TPs.;;;3305
Generic character death;Question Answering;;stabbing;;0;0;1;0;soldier;;0;0;1;0;Novellus;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;3305
False negative;Question Answering;;drowning;;0;0;1;0;Zagreus;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;4242
False negative;Question Answering;;burning alive;;0;0;1;0;Zagreus;;0;0;1;0;titans;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;4242
False positive;Question Answering;;discus;Struck by discus;1;0;0;0;Hyacinthus;Hyacinthus;1;0;0;0;---;Apollo;0;1;0;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;direct speech;first;1677
Minor character death;Question Answering;;unspecified;;0;0;0;1;the son of Ella Corynthus;;0;0;1;0;Paris;;0;0;1;0;Incorrect;Errors but no TPs.;direct speech;third;590
False positive;Question Answering;;failure to provide assistance;killed by father;0;1;1;0;Paris;son of Oenone and Paris;1;0;0;0;Oe;Paris;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;direct speech;third;590
;;;suicide;by his own hand;1;0;0;0;Ajax;Ajax;1;0;0;0;---;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1085
False negative;Question Answering;;falling;;0;0;1;0;Patroclus;;0;0;1;0;Apollo, Hector;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;3309
;;;discus;Bone shattered by unnatural wind;1;0;0;0;Hyacinthus;Hyacinthus;1;0;0;0;Zephyrus;Zephyrus;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;3309
False positive & false negative;Question Answering;;manipulation/intercourse;;0;0;1;0;Medea's father;father;1;0;0;0;the witch;princess;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;narrator;third;1789
;;;manipulation/intercourse;overwhelmed by pleasure and pain;1;0;0;0;princess;princess;1;0;0;0;;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1789
Generic character death;Question Answering;;illness;;0;0;1;0;mortals, young children;;0;0;1;0;Pandora as proxy;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;third;7296
Generic character death;Question Answering;;unspecified;;0;0;0;1;Lycaon;;0;0;1;0;Zeus;;0;0;1;0;Incorrect;Errors but no TPs.;direct speech;third;7296
False negative;Question Answering;;flood;;0;0;1;0;mortals;;0;0;1;0;Zeus;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;7296
False negative;Question Answering;;withdrawal;;0;0;1;0;Leuce;;0;0;1;0;Zeus;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;third;7296
False negative;Question Answering;;unspecified;;0;0;0;1;Plutus;;0;0;1;0;Zeus;;0;0;1;0;Incorrect;Errors but no TPs.;direct speech;third;7296
False negative;Question Answering;;struck by lightening;;0;0;1;0;Asclepius;;0;0;1;0;Zeus;;0;0;1;0;Incorrect;All three elements have FP or FN.;indirect speech;third;7296
False negative;Question Answering;;disintegration;;0;0;1;0;Prometheus;;0;0;1;0;Zeus;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;7296
Generic character death;Question Answering;;cold;;0;0;1;0;human women;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;first;7296
Generic character death;Question Answering;;starvation;;0;0;1;0;human women;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;first;7296
Generic character death;Question Answering;;illness;;0;0;1;0;human women;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;first;7296
Generic character death;Question Answering;;drowning;;0;0;1;0;human women;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;first;7296
False negative;Question Answering;;self-sacrifice/suicide;;0;0;1;0;Chiron;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;direct speech;third;7296
False positive;Question Answering;;;sleep into eternal oblivion;0;1;0;0;;Protagonist (unnamed);0;1;0;0;;;0;0;0;1;Incorrect;Errors but no TPs.;;;7296
Generic character death;Question Answering;;hanging;;0;0;1;0;servant;servant;1;0;0;0;Odysseus;;0;0;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;narrator;third;581
Generic character death;Question Answering;;unspecified;;0;0;0;1;suitors;suitors;1;0;0;0;Odysseus;;0;0;1;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;narrator;third;581
Generic character death;Question Answering;;war;;0;0;1;0;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;581
Generic character death;Question Answering;;drowning;;0;0;1;0;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;581
Generic character death;Question Answering;;unspecified;war;0;1;0;0;Ajax;Ajax;1;0;0;0;unspecified;;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;indirect thought;third;581
;;;;;0;0;0;1;Eurylochus;Eurylochus;1;0;0;0;unspecified;;0;0;0;1;Correct;;indirect thought;third;581
False negative;Question Answering;;unspecified;war;0;1;0;0;Achilles;Achilles;1;0;0;0;unspecified;;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;indirect thought;third;581
False negative;Question Answering;;unspecified;war;0;1;0;0;Agamemnon;Agamemnon;1;0;0;0;unspecified;;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;indirect thought;third;581
;;;unspecified;;0;0;0;1;Odysseus' mother;Odysseus' mother;1;0;0;0;unspecified;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;indirect thought;third;581
Minor character death;Question Answering;;slaying;;0;0;1;0;Heracles' tutor;;0;0;1;0;Heracles;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;7367
False negative;Question Answering;;being eaten;;0;0;1;0;travellers;;0;0;1;0;Hydra;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;7367
Generic character death;Question Answering;;beheading;;0;0;1;0;Hydra;;0;0;1;0;Heracles and Iolaus;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;7367
False negative;Question Answering;;being shot/poison;;0;0;1;0;unspecified;;0;0;0;1;Heracles;;0;0;1;0;Incorrect;Errors but no TPs.;direct speech;first;7367
Generic character death;Question Answering;;being shot/poison;;0;0;1;0;Chiron;;0;0;1;0;Heracles;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;7367
False negative;Question Answering;;drowning;;0;0;1;0;Hylas;;0;0;1;0;water nymphs;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;7367
False negative;Question Answering;;unspecified;;0;0;0;1;Heracles' children;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;direct speech;first;7367
False negative;Question Answering;;disease;;0;0;1;0;humans;;0;0;1;0;Pandora;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;7367
Minor character death;Question Answering;;unspecified;;0;0;0;1;Heracles' nephews;;0;0;1;0;Heracles;;0;0;1;0;Incorrect;Errors but no TPs.;direct speech;first;7367
False negative;Question Answering;;being shot;;0;0;1;0;Coronis;;0;0;1;0;Apollo or Artemis;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;7367
False negative;Question Answering;;struck by lightening;;0;0;1;0;a man;;0;0;1;0;Zeus;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;7367
Generic character death;Question Answering;;struck by lightening;;0;0;1;0;Asclepius;;0;0;1;0;Zeus;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;7367
False negative;Question Answering;;being shot;;0;0;1;0;a cyclops;;0;0;1;0;Apollo;;0;0;1;0;Incorrect;All three elements have FP or FN.;direct speech;first;7367
;;;slaying;brain dashed out;1;0;0;0;Astyanax;Astyanax;1;0;0;0;---;unknown;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;first;1175
False positive;Question Answering;;unspecified;defiled body dragged;0;1;1;0;Hector;Hector;1;0;0;0;Achilles;Achilles;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;first;1175
