Error Type;Error Scope;(Major) Character Death Evidence;Presentation_Mode;Narrator_POV;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;summary_P;Classification;Reason;words
MIN;SUM;"""Fighting is in your blood, and it is always a rush killing your opponents, a simple stab of your spear or maybe a deep slash of your dagger."" [...] ""You only care about the way it feels as you move along the battlefield, an endless thrill and high and breathlessness as you dodge and stab and slash and block and kill.""";narrator;second;Achilles' opponents;;0;0;1;0;Achilles;;0;0;1;0;slashing;;0;0;1;0;"Achilles’ story intertwines with Patroclus’, whose death haunts him deeply. Patroclus dies from spear wounds inflicted during battle, though the exact perpetrators are not named; Achilles is unable to bear parting with his body and reluctantly agrees to cremate it. The Amazon Queen is defeated by Achilles in combat, her death mirroring the beauty of Patroclus’ lifeless form. Achilles also reflects on his own impending death, no longer fearing it as he believes Patroclus awaits him. Throughout, Achilles’ love for Patroclus endures even after death, overshadowing other relationships and conquests like those with Briseis and the Amazon Queen.";Incorrect;All three elements have FP or FN.;5730
FNmaj;SUM;"""And she sees it, she sees the end of the world, she sees his death, she sees everybody’s death.""";indirect thought;third;Apollo;;0;0;1;0;---;;0;0;0;1;unspecified;;0;0;0;1;Cassandra, cursed with prophetic visions of all possible futures, sees the devastating consequences of her decision to accept Apollo's gift. She witnesses her own death at the gates of Mycenae, the rape and murder of her daughter by Ajax the Lesser on Athena's altar, and the loss of her unborn child. Her son, aged seven but appearing older due to the war, dies in her arms. Cassandra's visions also reveal the destruction of Troy, the fall of her family, and the eventual end of the world. Apollo, though angry and hurt by her actions, feels sadness and emptiness after her death and vows to avenge her.;Incorrect;Errors but no TPs.;1264
FNmin;KE;"""And she sees it, she sees the end of the world, she sees his death, she sees everybody’s death.""";indirect thought;third;everyone;;0;0;1;0;---;;0;0;0;1;unspecified;;0;0;0;1;Cassandra, cursed with prophetic visions of all possible futures, sees the devastating consequences of her decision to accept Apollo's gift. She witnesses her own death at the gates of Mycenae, the rape and murder of her daughter by Ajax the Lesser on Athena's altar, and the loss of her unborn child. Her son, aged seven but appearing older due to the war, dies in her arms. Cassandra's visions also reveal the destruction of Troy, the fall of her family, and the eventual end of the world. Apollo, though angry and hurt by her actions, feels sadness and emptiness after her death and vows to avenge her.;Incorrect;Errors but no TPs.;1264
FP;SUM;"""She is staying in front of the Mycenae gates, her daughter is dead then, one of the casualties of travelling.""";indirect thought;third;Cassandra's daughter;her daughter;1;0;0;0;---;Ajax the Lesser;0;1;0;1;unspecified;rape and murder;0;1;1;0;Cassandra, cursed with prophetic visions of all possible futures, sees the devastating consequences of her decision to accept Apollo's gift. She witnesses her own death at the gates of Mycenae, the rape and murder of her daughter by Ajax the Lesser on Athena's altar, and the loss of her unborn child. Her son, aged seven but appearing older due to the war, dies in her arms. Cassandra's visions also reveal the destruction of Troy, the fall of her family, and the eventual end of the world. Apollo, though angry and hurt by her actions, feels sadness and emptiness after her death and vows to avenge her.;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;1264
FPFNmin;SUM;"""And her fear was justified because one piece of a future later, she is holding her dead son in her arms""";indirect thought;third;Cassandra's son;her son;1;0;0;0;---;;0;0;0;1;war;death;0;1;1;0;Cassandra, cursed with prophetic visions of all possible futures, sees the devastating consequences of her decision to accept Apollo's gift. She witnesses her own death at the gates of Mycenae, the rape and murder of her daughter by Ajax the Lesser on Athena's altar, and the loss of her unborn child. Her son, aged seven but appearing older due to the war, dies in her arms. Cassandra's visions also reveal the destruction of Troy, the fall of her family, and the eventual end of the world. Apollo, though angry and hurt by her actions, feels sadness and emptiness after her death and vows to avenge her.;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;1264
MIN;SUM;"""And at this point she thought that the fate couldn’t surprise her, but then she sees the world burning, the sun crushing to the ground, Apollo raging, monsters plundering and plague spreading.""";indirect thought;third;mortals;;0;0;1;0;Apollo;;0;0;1;0;monsters;;0;0;1;0;Cassandra, cursed with prophetic visions of all possible futures, sees the devastating consequences of her decision to accept Apollo's gift. She witnesses her own death at the gates of Mycenae, the rape and murder of her daughter by Ajax the Lesser on Athena's altar, and the loss of her unborn child. Her son, aged seven but appearing older due to the war, dies in her arms. Cassandra's visions also reveal the destruction of Troy, the fall of her family, and the eventual end of the world. Apollo, though angry and hurt by her actions, feels sadness and emptiness after her death and vows to avenge her.;Incorrect;All three elements have FP or FN.;1264
MIN;SUM;"""And at this point she thought that the fate couldn’t surprise her, but then she sees the world burning, the sun crushing to the ground, Apollo raging, monsters plundering and plague spreading.""";indirect thought;third;mortals;;0;0;1;0;Apollo;;0;0;1;0;plague;;0;0;1;0;Cassandra, cursed with prophetic visions of all possible futures, sees the devastating consequences of her decision to accept Apollo's gift. She witnesses her own death at the gates of Mycenae, the rape and murder of her daughter by Ajax the Lesser on Athena's altar, and the loss of her unborn child. Her son, aged seven but appearing older due to the war, dies in her arms. Cassandra's visions also reveal the destruction of Troy, the fall of her family, and the eventual end of the world. Apollo, though angry and hurt by her actions, feels sadness and emptiness after her death and vows to avenge her.;Incorrect;All three elements have FP or FN.;1264
FPmin;SUM;;;;;her unborn child;0;1;0;0;;;0;0;0;1;;loss;0;1;0;0;Cassandra, cursed with prophetic visions of all possible futures, sees the devastating consequences of her decision to accept Apollo's gift. She witnesses her own death at the gates of Mycenae, the rape and murder of her daughter by Ajax the Lesser on Athena's altar, and the loss of her unborn child. Her son, aged seven but appearing older due to the war, dies in her arms. Cassandra's visions also reveal the destruction of Troy, the fall of her family, and the eventual end of the world. Apollo, though angry and hurt by her actions, feels sadness and emptiness after her death and vows to avenge her.;Incorrect;Errors but no TPs.;1264
MIN;SUM;"""And at this point she thought that the fate couldn’t surprise her, but then she sees the world burning, the sun crushing to the ground, Apollo raging, monsters plundering and plague spreading.""";indirect thought;third;mortals;;0;0;1;0;Apollo;;0;0;1;0;natural desaster;;0;0;1;0;Cassandra, cursed with prophetic visions of all possible futures, sees the devastating consequences of her decision to accept Apollo's gift. She witnesses her own death at the gates of Mycenae, the rape and murder of her daughter by Ajax the Lesser on Athena's altar, and the loss of her unborn child. Her son, aged seven but appearing older due to the war, dies in her arms. Cassandra's visions also reveal the destruction of Troy, the fall of her family, and the eventual end of the world. Apollo, though angry and hurt by her actions, feels sadness and emptiness after her death and vows to avenge her.;Incorrect;All three elements have FP or FN.;1264
FPFNmaj;KE;"""And she sees her own death, waiting behind the gate, and all that will follow."" [...] ""Apollo watches her standing in front Mycenae gate. He watches her die.""";indirect thought;third;Cassandra;Cassandra;0;0;1;0;---;;0;0;0;1;unspecified;devastating consequences;0;1;0;0;Cassandra, cursed with prophetic visions of all possible futures, sees the devastating consequences of her decision to accept Apollo's gift. She witnesses her own death at the gates of Mycenae, the rape and murder of her daughter by Ajax the Lesser on Athena's altar, and the loss of her unborn child. Her son, aged seven but appearing older due to the war, dies in her arms. Cassandra's visions also reveal the destruction of Troy, the fall of her family, and the eventual end of the world. Apollo, though angry and hurt by her actions, feels sadness and emptiness after her death and vows to avenge her.;Incorrect;Errors but no TPs.;1264
FNmin;SUM;"""Learning a woman’s place had earned her mother an early grave. Her poor mother had died with her younger brother all because to rule you needed a cock.""";indirect thought;third;Philomena's mother;;0;0;1;0;---;;0;0;0;1;unspecified;;0;0;0;1;Philomela, a woman who communicates with the newly dead, reunites with her long-lost son, Patroclus, after an extended period of separation spanning centuries. Patroclus, now grown and strikingly tall, bears scars from a violent death, evident from the blood staining his tunic at the abdomen. His improper burial initially delayed his arrival in the afterlife, causing concern for his grief-stricken partner, Achilles, who had been waiting devotedly. The story highlights their emotional reunion, with Philomela acknowledging their deep bond as soulmates. She reflects on her family's wholeness, having welcomed Achilles into their fold, while expressing contempt toward other relatives, Menoiteus and her father, whom she wishes ill. The narrative emphasizes themes of love, loss, and the enduring connections between family and soulmates.;Incorrect;Errors but no TPs.;4350
FPmaj;SUM;"""Achilles said they had been buried together but they had not arrived together."" [...] ""She now noticed the blood marrying his tunic at the abdomen. A gruesome death, however the signs would fade in time.""";indirect speech;third;Patroclus;Patroclus;1;0;0;0;---;unknown;0;0;0;1;unspecified;violent death;0;1;0;0;Philomela, a woman who communicates with the newly dead, reunites with her long-lost son, Patroclus, after an extended period of separation spanning centuries. Patroclus, now grown and strikingly tall, bears scars from a violent death, evident from the blood staining his tunic at the abdomen. His improper burial initially delayed his arrival in the afterlife, causing concern for his grief-stricken partner, Achilles, who had been waiting devotedly. The story highlights their emotional reunion, with Philomela acknowledging their deep bond as soulmates. She reflects on her family's wholeness, having welcomed Achilles into their fold, while expressing contempt toward other relatives, Menoiteus and her father, whom she wishes ill. The narrative emphasizes themes of love, loss, and the enduring connections between family and soulmates.;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;4350
FNmin;SUM;"""Her family was whole once more(Menoiteus and her father could rot in the very pits of Tartarus for all she cared) and they had welcomed a new addition.""";indirect thought;third;Philomena's father, Menoiteus;;0;0;1;0;---;;0;0;0;1;implied/unspecified;;0;0;1;0;Philomela, a woman who communicates with the newly dead, reunites with her long-lost son, Patroclus, after an extended period of separation spanning centuries. Patroclus, now grown and strikingly tall, bears scars from a violent death, evident from the blood staining his tunic at the abdomen. His improper burial initially delayed his arrival in the afterlife, causing concern for his grief-stricken partner, Achilles, who had been waiting devotedly. The story highlights their emotional reunion, with Philomela acknowledging their deep bond as soulmates. She reflects on her family's wholeness, having welcomed Achilles into their fold, while expressing contempt toward other relatives, Menoiteus and her father, whom she wishes ill. The narrative emphasizes themes of love, loss, and the enduring connections between family and soulmates.;Incorrect;Errors but no TPs.;4350
FNmaj;SUM;"""Reaching for his hands, noted the rough nature of them. Hands that had saved but also ended lives, her baby.""";indirect thought;third;---;;0;0;0;1;Patroclus;;0;0;1;0;unspecified;;0;0;0;1;Philomela, a woman who communicates with the newly dead, reunites with her long-lost son, Patroclus, after an extended period of separation spanning centuries. Patroclus, now grown and strikingly tall, bears scars from a violent death, evident from the blood staining his tunic at the abdomen. His improper burial initially delayed his arrival in the afterlife, causing concern for his grief-stricken partner, Achilles, who had been waiting devotedly. The story highlights their emotional reunion, with Philomela acknowledging their deep bond as soulmates. She reflects on her family's wholeness, having welcomed Achilles into their fold, while expressing contempt toward other relatives, Menoiteus and her father, whom she wishes ill. The narrative emphasizes themes of love, loss, and the enduring connections between family and soulmates.;Incorrect;Errors but no TPs.;4350
MAJ;SUM;"""Deep in her heart she already knew, if her father was willing to try to beat her to death then there was no hope for him. By the Gods how she longed to weep, but found that it hurt too much to simply do that.""";indirect thought;third;Kallias;;0;0;1;0;Philomena's father;;0;0;1;0;implied/unspecified;;0;0;1;0;Philomela, a woman who communicates with the newly dead, reunites with her long-lost son, Patroclus, after an extended period of separation spanning centuries. Patroclus, now grown and strikingly tall, bears scars from a violent death, evident from the blood staining his tunic at the abdomen. His improper burial initially delayed his arrival in the afterlife, causing concern for his grief-stricken partner, Achilles, who had been waiting devotedly. The story highlights their emotional reunion, with Philomela acknowledging their deep bond as soulmates. She reflects on her family's wholeness, having welcomed Achilles into their fold, while expressing contempt toward other relatives, Menoiteus and her father, whom she wishes ill. The narrative emphasizes themes of love, loss, and the enduring connections between family and soulmates.;Incorrect;All three elements have FP or FN.;4350
FNmaj;SUM;"""From the soldier she learned that Menoiteus had exiled him to Pthita for a supposed murder of another boy.""";indirect speech;third;a boy;;0;0;1;0;Patroclus;;0;0;1;0;unspecified;;0;0;0;1;Philomela, a woman who communicates with the newly dead, reunites with her long-lost son, Patroclus, after an extended period of separation spanning centuries. Patroclus, now grown and strikingly tall, bears scars from a violent death, evident from the blood staining his tunic at the abdomen. His improper burial initially delayed his arrival in the afterlife, causing concern for his grief-stricken partner, Achilles, who had been waiting devotedly. The story highlights their emotional reunion, with Philomela acknowledging their deep bond as soulmates. She reflects on her family's wholeness, having welcomed Achilles into their fold, while expressing contempt toward other relatives, Menoiteus and her father, whom she wishes ill. The narrative emphasizes themes of love, loss, and the enduring connections between family and soulmates.;Incorrect;Errors but no TPs.;4350
FNmin;SUM;"""The Trojan War that had sent so many young souls to Hades.""";indirect thought;third;many young souls;;0;0;1;0;---;;0;0;0;1;war;;0;0;1;0;Philomela, a woman who communicates with the newly dead, reunites with her long-lost son, Patroclus, after an extended period of separation spanning centuries. Patroclus, now grown and strikingly tall, bears scars from a violent death, evident from the blood staining his tunic at the abdomen. His improper burial initially delayed his arrival in the afterlife, causing concern for his grief-stricken partner, Achilles, who had been waiting devotedly. The story highlights their emotional reunion, with Philomela acknowledging their deep bond as soulmates. She reflects on her family's wholeness, having welcomed Achilles into their fold, while expressing contempt toward other relatives, Menoiteus and her father, whom she wishes ill. The narrative emphasizes themes of love, loss, and the enduring connections between family and soulmates.;Incorrect;Errors but no TPs.;4350
MIN;SUM;"""here was a farmer who sought revenge for a sheep i had killed, there was a drunken man who had tried to force himself onto me, and there closest to the entrance was a man dressed in strange attire, a helmet on his head that had blonde curls, a strange metal bird had crashed near here and he held a metal stick that shot round pebbles, he shot pegasus and i had no choice.""";narrator;first;a man dressed in strange attire;;0;0;1;0;Medusa('s snakes);;0;0;1;0;snake bite;;0;0;1;0;"The narrative describes a day filled with activities centered around gathering food and preparing a meal. The protagonist leaves a rabbit on a rock, shoots down a beehive to collect honeycombs, and later gathers ripe figs from a tree. They return home to clean the rabbit, prepare dough with honey and figs, season the rabbit with herbs, and cook both the bread and meat in an oven. The story then shifts to family interactions as they sit down to eat together. Throughout, there is no explicit mention of deaths, murderers, or victims; however, the name ""Briseis"" carries tragic connotations, hinting at a deeper sorrow underlying the otherwise peaceful scene.";Incorrect;All three elements have FP or FN.;7247
MIN;SUM;"""here was a farmer who sought revenge for a sheep i had killed, there was a drunken man who had tried to force himself onto me, and there closest to the entrance was a man dressed in strange attire, a helmet on his head that had blonde curls, a strange metal bird had crashed near here and he held a metal stick that shot round pebbles, he shot pegasus and i had no choice.""";narrator;first;a drunk man;;0;0;1;0;Medusa('s snakes);;0;0;1;0;snake bite;;0;0;1;0;"The narrative describes a day filled with activities centered around gathering food and preparing a meal. The protagonist leaves a rabbit on a rock, shoots down a beehive to collect honeycombs, and later gathers ripe figs from a tree. They return home to clean the rabbit, prepare dough with honey and figs, season the rabbit with herbs, and cook both the bread and meat in an oven. The story then shifts to family interactions as they sit down to eat together. Throughout, there is no explicit mention of deaths, murderers, or victims; however, the name ""Briseis"" carries tragic connotations, hinting at a deeper sorrow underlying the otherwise peaceful scene.";Incorrect;All three elements have FP or FN.;7247
