Error Type;Error Scope;(Major) Character Death Evidence;Presentation_Mode;Narrator_POV;Canonical_character_name;num_AO3_stories;Qrank;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Canonical_character_name.1;num_AO3_stories.1;Qrank.1;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;Classification;Reason;words
MAJ;KE;"""Everyone knows that this was the revenge of the stars on Alexander the Great, who died of a mysterious fever at the age of thirty-two, but at this time the Aegeans were not yet a superstitious lot, because their lives were not yet governed by the cold and impersonal light of distant planets, just very powerful gods, against whose randomness no salt over your shoulder and no straw men could guard you.""";narrator;third;Alexandros III of Macedon | Alexander the Great;803;14508740;Alexander the Great;;0;0;1;0;;;;---;;0;0;0;1;illness (fever);;0;0;1;0;Incorrect;Errors but no TPs.;1574
MAJ;KE;"""Agamemnon had murdered his own daughter to ensure good winds for the journey. Iphigeneia had been young, intelligent and gorgeous, very enthusiastic about being married to Achilles himself. That hadn't worked out. She had fought frantically before they killed her.""";narrator;third;Iphigenia (Ancient Greek Religion & Lore);148;578453;Iphigeneia;;0;0;1;0;Agamemnon (Ancient Greek Religion & Lore);353;1387624;Agamemnon;;0;0;1;0;sacrifice;;0;0;1;0;Incorrect;All three elements have FP or FN.;1574
MAJ;KE;"""Over in the corner an old woman was telling a gathering the story of Tantalus and how he cut up and served his own son Pelops as food for the gods.""";narrator;third;Pelops of Pisa (Ancient Greek Religion & Lore);10;223923;Pelops;;0;0;1;0;Tantalus (Ancient Greek Religion & Lore);20;815710;Tantalus;;0;0;1;0;chopping to pieces;;0;0;1;0;Incorrect;All three elements have FP or FN.;1574
;;"""He did not even hate for dying when she finally did, sword knocked out of her hand, his blade sliced clean through her heart.""";narrator;third;Penthesilea;16;233777;Penthesilea;Amazon queen;1;0;0;0;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;him;1;0;0;0;stabbing;sliced through heart with blade;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1574
MIN;KE;"""What can you say about a twenty-one year old girl who died? That she wasn't twenty-one, for starters. She was thirty-two when she died and looked every day of it.""";narrator;third;;;;A twenty-one year old girl;;0;0;1;0;;;;---;;0;0;0;1;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;1574
;;"""Weeks later, Althea recovered from her grief and hysteria and realized what she had done. She took the coward's way out of guilt.""";indirect thought;third;Althea;289;436;Althea;Althea;1;0;0;0;;;;---;Althea;1;0;0;0;suicide;suicide;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1115
MAJ;KE;"""It's only fair, she decided. Why should OEneus celebrate while I am in mourning? An eye for an eye, I say! Well, I brought you into this world, Mellie, and watch me take you out! She finished the download. The :::ding::: of completion seemed to be a deathly groan. It was the groan of her son, dying""";direct thought;third;Meleager;5;111957;Meleager;Meleager;1;0;0;0;Althea;289;436;Althea;Althea;1;0;0;0;software malfunction;program completion;0;1;1;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;1115
;;"""Once they'd all logged out, Plexippus and Toxeus, two of Meleager's uncles who'd been in the hunting party, were jealous that Atalanta had gotten all the honor and fame out of all who had been there."" [...] ""Meleager didn't see it that way. They'd taken from a heroine, and what's more, they'd taken from the woman he loved. He drew his hand phaser and vaporized them on the spot.""";narrator;third;Toxeus;0;199;Plexippus and Toxeus;Plexippus and Toxeus;1;0;0;0;Meleager;5;111957;Meleager;Meleager;1;0;0;0;vaporising;vaporized;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1115
MIN;KE;"""The BOAR virus detected these prodigies and lashed out, rending,  maiming, and tearing the VR bodies and destroying the neural nets of one  after another of Unnamed Redshirts. None of them were of noble parentage, so it wasn't any great loss.""";narrator;third;;;;Unnamed Redshirts;unnamed redshirts;1;0;0;0;Artemis (Ancient Greek Religion & Lore);936;3823072;Diana Artémiso;BOAR virus;0;1;1;0;software malfunction/virus;tearing to pieces;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;1115
;;"""He was among the best of men, was Hector husband of Andromache, father of Astynax, beloved. Andromache gave herself up to grief and rage when Achilles killed him, but Helen fell into herself. """;narrator;third;Hector (Ancient Greek Religion & Lore);491;787684;Hector;Hector;1;0;0;0;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;Achilles;1;0;0;0;unspecified;killed in battle;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;682
MAJ;KE;;;;Agamemnon (Ancient Greek Religion & Lore);353;1387624;;Agamemnon;0;1;0;0;Clytemnestra (Ancient Greek Religion & Lore);241;534957;;Clytaemnestra;0;1;0;0;;bleeding;0;1;0;0;Incorrect;All three elements have FP or FN.;520
;;"""The last sight Cassandra sees is her most complete and perfect vision; it's accompanied by a crack like thunder.""";narrator;third;Cassandra (Ancient Greek Religion & Lore);333;1443881;Cassandra;Cassandra;1;0;0;0;Clytemnestra (Ancient Greek Religion & Lore);241;534957;Clytaemnestra;Clytaemnestra;1;0;0;0;slaying;violence;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;520
MIN;KE;"""She, the daughter of a younger god, whose father consumed her mother in a single swallow.""";narrator;third;Athena (Ancient Greek Religion & Lore);1175;4785851;Athena's mother;;0;0;1;0;Athena (Ancient Greek Religion & Lore);1175;4785851;Athena's father;;0;0;1;0;being eaten;;0;0;1;0;Incorrect;All three elements have FP or FN.;1691
MAJ;KE;"""What were the thoughts of the goddess of craft and skill and defense when she sent Perseus with a shield as bright as a mirror to her love? It cannot be known. But thereafter upon the shield of grey-eyed Athena, wise as a serpent, she bore the face of Medusa in her eternal rage. A goddess of wisdom may not be inclined to forgetfulness. She may also consider that in the end, even gods may die and the sea may turn to stone.""";narrator;third;Medusa (Ancient Greek Religion & Lore);271;2851968;Medusa;;0;0;1;0;Perseus (Ancient Greek Religion & Lore);103;2451511;Perseus;;0;0;1;0;petrification;;0;0;1;0;Incorrect;All three elements have FP or FN.;1691
MIN;KE;;;;;;;;heroes;0;1;0;0;Medusa (Ancient Greek Religion & Lore);271;2851968;;Medusa;0;1;0;0;;petrification;0;1;0;0;Incorrect;All three elements have FP or FN.;1691
;;"""Ships lay tilted upon the flat roofs where the people had gathered in halcyon days. And the dead. There were so many dead. "" ";narrator;third;;;;many people;people;1;0;0;0;Poseidon (Ancient Greek Religion & Lore);761;3582547;Poseidon;sea (Poseidon);1;0;0;0;drowning;drowning/floodwaters;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1691
MIN;KE;"""Whole families drowned""";narrator;third;;;;whole families;;0;0;1;0;Poseidon (Ancient Greek Religion & Lore);761;3582547;Poseidon;;0;0;1;0;drowning;;0;0;1;0;Incorrect;All three elements have FP or FN.;1691
;;"""“I did it for you,” Kallisto is sobbing. “I did it for us.” “I know, baby.” Artemis pulls the trigger.""";narrator;third;Callisto;841;429736;Kallisto;Kallisto;1;0;0;0;Artemis (Ancient Greek Religion & Lore);936;3823072;Artemis;Artemis;1;0;0;0;being shot;gunshot;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1152
MAJ;KE;"""‘This is for my people,’ I say, and I stab down into his flesh, a hand span higher than the wound she has given him. It goes in deep. I am stronger than I thought. He coughs, red foam gathering on his lips. I leave the sword in him and step back, looking down. Impaled, helpless, he shudders and jerks, pinned by his own sword. He tries to speak, but only spits blood onto the floor. She kneels beside him, gripping his head with her hand.""";narrator;first;Agamemnon (Ancient Greek Religion & Lore);353;1387624;Agamemnon;;0;0;1;0;Cassandra (Ancient Greek Religion & Lore);333;1443881;Cassandra;;0;0;1;0;stabbing;;0;0;1;0;Incorrect;All three elements have FP or FN.;1989
MAJ;KE;"""I look over his shoulder and see her behind, stalking forward on quiet feet, her sword raised."" [...] "" ‘Agamemnon,’ she says, her voice low. ‘This is for our daughter.’ He turns at her voice, his hand going to his hip as he registers her words, but of course his sword is not there. Her blade plunges into his stomach and out, dark blood spurting forth, spattering her dress. Her smile is so wide it is a grimace, a snarl. He falls sideways onto the floor, crying out wordlessly in pain and surprise. His head hits the ground but he is still moving. One hand goes to his waist, coming up red. The other gropes behind him, reaching for his sword. I am faster. I snatch it up and unsheathe it, the scabbard clattering on the floor.""";narrator;first;Agamemnon (Ancient Greek Religion & Lore);353;1387624;Agamemnon;;0;0;1;0;Clytemnestra (Ancient Greek Religion & Lore);241;534957;Clytaemnestra;;0;0;1;0;stabbing;;0;0;1;0;Incorrect;All three elements have FP or FN.;1989
MAJ;KE;"""I see the conqueror of my city brought low by his own wife.""";narrator;first;Agamemnon (Ancient Greek Religion & Lore);353;1387624;Agamemnon;;0;0;1;0;Clytemnestra (Ancient Greek Religion & Lore);241;534957;Clytaemnestra;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;1989
MAJ;KE;"""‘For Iphigenia,’ she says, her lips near his, and she presses her sword down and across, slitting his throat. His lifeblood gushes forth, splashing into her smiling mouth, streaking her skin, dark flecks landing on her like red petals.""";narrator;first;Agamemnon (Ancient Greek Religion & Lore);353;1387624;Agamemnon;;0;0;1;0;Clytemnestra (Ancient Greek Religion & Lore);241;534957;Clytaemnestra;;0;0;1;0;slashing throat;;0;0;1;0;Incorrect;All three elements have FP or FN.;1989
MAJ;KE;"""And then she heard the sound of steel slicing through flesh and she saw the sky for a moment before everything went black.""";narrator;third;Medusa (Ancient Greek Religion & Lore);271;2851968;Medusa;Medusa;1;0;0;0;Perseus (Ancient Greek Religion & Lore);103;2451511;Perseus;Perseus;1;0;0;0;slashing;beheading;0;1;1;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;1716
MIN;KE;"""The priestess stopped her backwards retreat, her feet seemingly rooted to the ground. There was a soft clicking as the silk slippers she wore seemed to harden and turn a soft shade of grey. Then, her ankles began the strange transformation, then her calves and her thighs. Medusa saw the girl struggle, but she noticed how the priestess's eyes remained on her at all times. The priestess's whole body turned grey and Medusa watched as one of the priestess's veins pulsed slowly through its alabaster prison. She watched with her own horror as it slowed to a stop, the priestess now a sister to the idol standing next to her.""";narrator;third;;;;a priestess;;0;0;1;0;Medusa (Ancient Greek Religion & Lore);271;2851968;Medusa;;0;0;1;0;petrification;;0;0;1;0;Incorrect;All three elements have FP or FN.;1716
MIN;KE;"""Medusa had killed hundreds of men with a single glance; this newcomer was nothing but another nameless body to be added to the list of deceased. No one who met her gaze ever breathed again.""";narrator;third;;;;hundreds of men;;0;0;1;0;Medusa (Ancient Greek Religion & Lore);271;2851968;Medusa;;0;0;1;0;petrification;;0;0;1;0;Incorrect;All three elements have FP or FN.;1716
;;"""The prophecy says if Troilus dies before he's twenty, the Achaeans will succeed."" [...] ""He draws his sword and puts the tip to the base of Troilus's perfect neck; Troilus bows his head almost as if he understands that this must happen, because the gods have willed it even if the two of them do not. Achilles washes Apollo's marble feet with the blood of his beautiful son and he leaves the body there before him.""";narrator;third;Troilus (Ancient Greek Religion & Lore);28;72535;Troilus;Troilus;1;0;0;0;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;Achilles;1;0;0;0;beheading;sword;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;2454
MIN;KE;"""This will not be the only death before the war is done, and will not be the only one at Achilles's hands, but it's one he will remember.""";narrator;third;;;;unspecified;;0;0;0;1;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;2454
;;"""And she sees it, she sees the end of the world, she sees his death, she sees everybody’s death.""";indirect thought;third;Apollo (Ancient Greek Religion & Lore);1682;4879975;Apollo;Apollo;1;0;0;0;;;;---;;0;0;0;1;unspecified;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1264
;;"""And she sees her own death, waiting behind the gate, and all that will follow."" [...] ""Apollo watches her standing in front Mycenae gate. He watches her die.""";indirect thought;third;Cassandra (Ancient Greek Religion & Lore);333;1443881;Cassandra;;1;0;0;0;;;;---;;0;0;0;1;unspecified;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1264
;;"""She is staying in front of the Mycenae gates, her daughter is dead then, one of the casualties of travelling.""";indirect thought;third;Cassandra (Ancient Greek Religion & Lore);333;1443881;Cassandra's daughter;Cassandra's daughter;1;0;0;0;;;;---;;0;0;0;1;unspecified;;0;0;0;1;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1264
MIN;KE;"""And her fear was justified because one piece of a future later, she is holding her dead son in her arms""";indirect thought;third;Cassandra (Ancient Greek Religion & Lore);333;1443881;Cassandra's son;Cassandra;0;1;1;0;Agamemnon (Ancient Greek Religion & Lore);353;1387624;---;King Agamemnon;0;1;0;0;war;;0;0;1;0;Incorrect;All three elements have FP or FN.;1264
MIN;KE;"""And at this point she thought that the fate couldn’t surprise her, but then she sees the world burning, the sun crushing to the ground, Apollo raging, monsters plundering and plague spreading.""";indirect thought;third;;;;mortals;;0;0;1;0;Apollo (Ancient Greek Religion & Lore);1682;4879975;Apollo;;0;0;1;0;plague;;0;0;1;0;Incorrect;All three elements have FP or FN.;1264
MIN;KE;"""And at this point she thought that the fate couldn’t surprise her, but then she sees the world burning, the sun crushing to the ground, Apollo raging, monsters plundering and plague spreading.""";indirect thought;third;;;;mortals;;0;0;1;0;Apollo (Ancient Greek Religion & Lore);1682;4879975;Apollo;;0;0;1;0;monsters;;0;0;1;0;Incorrect;All three elements have FP or FN.;1264
MIN;KE;"""And at this point she thought that the fate couldn’t surprise her, but then she sees the world burning, the sun crushing to the ground, Apollo raging, monsters plundering and plague spreading.""";indirect thought;third;;;;mortals;;0;0;1;0;Apollo (Ancient Greek Religion & Lore);1682;4879975;Apollo;;0;0;1;0;natural desaster;;0;0;1;0;Incorrect;All three elements have FP or FN.;1264
MIN;KE;"""And she sees it, she sees the end of the world, she sees his death, she sees everybody’s death.""";indirect thought;third;;;;everyone;everyone;1;0;0;0;Apollo (Ancient Greek Religion & Lore);1682;4879975;---;Apollo;0;1;0;0;unspecified;apocalypse;0;1;0;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;1264
MAJ;KE;"""Achilles said they had been buried together but they had not arrived together."" [...] ""She now noticed the blood marrying his tunic at the abdomen. A gruesome death, however the signs would fade in time.""";indirect speech;third;Patroclus of Opus (Ancient Greek Religion & Lore);889;946352;Patroclus;Patroclus;1;0;0;0;;;;---;unknown;0;0;0;1;unspecified;abdominal wound;0;1;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;4350
MIN;KE;"""Her family was whole once more(Menoiteus and her father could rot in the very pits of Tartarus for all she cared) and they had welcomed a new addition.""";indirect thought;third;Philomela mother of Patroclus (Ancient Greek Religion & Lore);17;104821;Philomena's father, Menoiteus;;0;0;1;0;;;;---;;0;0;0;1;implied/unspecified;;0;0;1;0;Incorrect;Errors but no TPs.;4350
MIN;KE;"""Learning a woman’s place had earned her mother an early grave. Her poor mother had died with her younger brother all because to rule you needed a cock.""";indirect thought;third;Philomela mother of Patroclus (Ancient Greek Religion & Lore);17;104821;Philomena's mother;;0;0;1;0;;;;---;;0;0;0;1;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;4350
MIN;KE;"""Reaching for his hands, noted the rough nature of them. Hands that had saved but also ended lives, her baby.""";indirect thought;third;;;;---;;0;0;0;1;Patroclus of Opus (Ancient Greek Religion & Lore);889;946352;Patroclus;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;4350
MIN;KE;"""From the soldier she learned that Menoiteus had exiled him to Pthita for a supposed murder of another boy.""";indirect speech;third;;;;a boy;;0;0;1;0;Patroclus of Opus (Ancient Greek Religion & Lore);889;946352;Patroclus;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;4350
MAJ;KE;"""Deep in her heart she already knew, if her father was willing to try to beat her to death then there was no hope for him. By the Gods how she longed to weep, but found that it hurt too much to simply do that."" ... ""He was dead but his voice was so clear in his mind. His face, his smile. He was gone. Just gone.""";indirect thought;third;;;;Kallias;;0;0;1;0;Philomela mother of Patroclus (Ancient Greek Religion & Lore);17;104821;Philomena's father;;0;0;1;0;implied/unspecified;;0;0;1;0;Incorrect;All three elements have FP or FN.;4350
MIN;KE;"""The Trojan War that had sent so many young souls to Hades.""";indirect thought;third;;;;many young souls;;0;0;1;0;;;;---;;0;0;0;1;war;;0;0;1;0;Incorrect;Errors but no TPs.;4350
MIN;KE;"""here was a farmer who sought revenge for a sheep i had killed, there was a drunken man who had tried to force himself onto me, and there closest to the entrance was a man dressed in strange attire, a helmet on his head that had blonde curls, a strange metal bird had crashed near here and he held a metal stick that shot round pebbles, he shot pegasus and i had no choice.""";narrator;first;;;;a farmer;;0;0;1;0;Medusa (Ancient Greek Religion & Lore);271;2851968;Medusa('s snakes);;0;0;1;0;snake bite;;0;0;1;0;Incorrect;All three elements have FP or FN.;7247
MIN;KE;"""with the mother watching me i bring my knife to the faun's throat, one smooth press and a jerk of it's leg and it stills. the mother calls out once or twice before heading into another part of the forest.""";narrator;first;;;;a faun;;0;0;1;0;Medusa (Ancient Greek Religion & Lore);271;2851968;Medusa;;0;0;1;0;slashing throat;;0;0;1;0;Incorrect;All three elements have FP or FN.;7247
MIN;KE;"""soon enough though his screams of pain rouse my sisters, who quickly make short work of their meal.""";narrator;first;;;;a man;;0;0;1;0;Medusa (Ancient Greek Religion & Lore);271;2851968;Medusa's sisters;;0;0;1;0;being eaten;;0;0;1;0;Incorrect;All three elements have FP or FN.;7247
MIN;KE;"""here was a farmer who sought revenge for a sheep i had killed, there was a drunken man who had tried to force himself onto me, and there closest to the entrance was a man dressed in strange attire, a helmet on his head that had blonde curls, a strange metal bird had crashed near here and he held a metal stick that shot round pebbles, he shot pegasus and i had no choice.""";narrator;first;;;;a man dressed in strange attire;;0;0;1;0;Medusa (Ancient Greek Religion & Lore);271;2851968;Medusa('s snakes);;0;0;1;0;snake bite;;0;0;1;0;Incorrect;All three elements have FP or FN.;7247
MIN;KE;"""i try not to eat humans, but in the beginning i had no control over my bloodlust, and for that me and my sisters are hunted by ""heroes,"" foolish mortals who claim that the gods sent them, unaware that a goddess is the one who gave me this protection in the first place. the heroes are always male, and even after all these years i still cannot bring myself to let one touch me. i know it's not their fault, i know that, but every time one gets close i panic and my snakes do their job for me.""";narrator;first;;;;unnamed heroes;;0;0;1;0;Medusa (Ancient Greek Religion & Lore);271;2851968;Medusa('s snakes);;0;0;1;0;snake bite;;0;0;1;0;Incorrect;All three elements have FP or FN.;7247
MIN;KE;"""they surround the stag completely, and even though i know what's going to come next i still cannot allow myself to turn away. i watch as one of the wolves trip up the stag by running under its hooves, and another bite into it's hindquarters savagely, ripping away the thin fur to reveal the strong muscle underneath, they begin to tear bits of him off and though the stag tries to fight them off it is no use, a wolf steps onto his head and rips out his throat, a spray of blood misting the air surrounding him, i listen to the last terrified bleats it releases before it's cries become nothing but a gurgle of blood that's pouring out of it's throat.""";narrator;first;;;;a man transformed into a stag;;0;0;1;0;;;;wolves;;0;0;1;0;being eaten;;0;0;1;0;Incorrect;All three elements have FP or FN.;7247
;;"""She was not surprised when he died at the end, in the midst of victory for the Greeks.""";narrator;third;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;Achilles;1;0;0;0;;;;unspecified;;0;0;0;1;war;battle-related death;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1000
MAJ;KE;"""All she knew was that this war had nothing to do with her, yet it had cost her her husband, her city and her freedom.""";indirect thought;third;Mynes of Lyrnessus (Ancient Greek Religion & Lore);1;2028;Mynes;;0;0;1;0;;;;---;;0;0;0;1;war;;0;0;1;0;Incorrect;Errors but no TPs.;1000
;;"""Therefore her blood ran cold when she heard he had fallen, and her eyes itched with unbidden tears.""";indirect speech;third;Patroclus of Opus (Ancient Greek Religion & Lore);889;946352;Patroclus;Patroclus;1;0;0;0;;;;unspecified;;0;0;0;1;war;in battle;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1000
;;"""Talking about Dixon's murder wasn't proper, not in front of his widow."" [...] ""Raising the pick over her head had taken all Corrie's strength, but the wet, crushing noise when it entered Dixon's head had made the effort worth it.""";indirect thought;third;;;;Dixon;Dixon Worth;1;0;0;0;;;;Corrie;Corrie Worth;1;0;0;0;slaying;homicide;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;746
MIN;KE;"""Her own nightmares about miners involved hanged men, ropes still around their necks, accusing her.""";indirect thought;third;;;;miners;miners;1;0;0;0;;;;Corrie;Sheriff J.H. Blair;0;1;1;0;hanging;hanging;1;0;0;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;746
MIN;KE;"""Corrie suspected she could have danced naked on Dixon's coffin without shaking Blair from his certainty that he'd caught the right men when he jailed those striking miners as murderers.""";indirect thought;third;;;;unspecified;;0;0;0;1;;;;striking miners;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;746
;;"""Thus at last by Dionysus’ command and the Maenad’s hands, he was torn limb from limb, split in two and three and four and ever smaller parts."" [...] ""They ate his innards still steaming hot and raw, they gnawed his flesh down to the bone and wolf cubs carried the bones away.""";narrator;third;Pentheus (Ancient Greek Religion & Lore);37;78367;Pentheus;Pentheus;1;0;0;0;Maenads (Ancient Greek Religion & Lore);41;432693;Maenad;Maenads;1;0;0;0;tearing to pieces/being eaten;split into smaller parts;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1269
;;"""Cassandra, stripped of her clothing, picked up the dual-bladed dagger, took Iphigenia’s place under the cloth, and the mask covered her eyes."" [...] ""“Kiss me, Calchas, and your death through me.” With a mighty thrust, she yanked him down, breast to breast. Heart to heart. The dual bladed dagger sank deep into them both.""";narrator;third;Calchas (Ancient Greek Religion & Lore);18;73219;Calchas;Calchas;1;0;0;0;Cassandra (Ancient Greek Religion & Lore);333;1443881;Cassandra;Cassandra;1;0;0;0;stabbing;stabbing;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;2229
